task,baseline_embed_regress_proj_t5,baseline_embed_regress_t5_m_cat_from_scratch,baseline_omnipred_24m,Expert_GA,Expert_Grad
HPOB_5906_6566,-0.9553881883621216,-0.8729695081710815,,,
HPOB_5906_9889,-0.958531141281128,-0.971300572156906,,,
HPOB_5906_3494,-0.7734313607215881,-0.7852560579776764,,,
HPOB_5906_37,-0.644132137298584,-0.740958571434021,,,
HPOB_5906_3896,-0.8254603743553162,-0.8280752897262573,,,
HPOB_5889_6566,-0.975135624408722,-0.970820128917694,,,
HPOB_5889_14971,-0.8261333703994751,-0.832602322101593,,,
HPOB_5889_9983,-0.9078727960586548,-0.9039443135261536,,,
HPOB_5889_3954,-0.8734230995178223,-0.8713942766189575,,,
HPOB_5889_9977,-0.9649185538291932,-0.9357250928878784,,,
HPOB_5889_7295,-0.8274617791175842,-0.833962619304657,,,
HPOB_5889_3889,-0.99359530210495,-0.9915050268173218,,,
HPOB_5889_9970,-0.570275068283081,-0.5730167031288147,,,
HPOB_5889_3891,-0.9173804819583892,-0.8994447588920593,,,
HPOB_5889_9978,-0.9429684281349182,-0.942316472530365,,,
HPOB_5889_3917,-0.8621891736984253,-0.8616721034049988,,,
HPOB_5889_9957,-0.8609498143196106,-0.8625589609146118,,,
HPOB_5889_9980,-0.910453736782074,-0.9090760946273804,,,
HPOB_5889_3494,-0.9875984191894532,-0.9894081950187684,,,
HPOB_5889_10101,-0.7732327580451965,-0.7657034993171692,,,
HPOB_5889_31,-0.7410593032836914,-0.7602373361587524,,,
HPOB_5889_3493,-0.6582231521606445,-0.860412985086441,,,
HPOB_5889_3913,-0.8382117748260498,-0.8378168940544128,,,
HPOB_5889_9946,-0.9598963856697084,-0.949295699596405,,,
HPOB_5889_125923,-0.8576018214225769,-0.8560276925563812,,,
adaptec1,,,,-612900.785714281,-640983.0982142789
adaptec2,,,,-8145519.977678742,-1e+16
adaptec3,,,,-6290975.718750025,-6385810.232142912
adaptec4,,,,-6357476.535714298,
