task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch
AntMorphology-Exact-v0,0.1633003205060959,0.4289988279342651,0.2633511424064636
DKittyMorphology-Exact-v0,0.7810264825820923,0.7056118249893188,0.8833685517311096
Superconductor-RandomForest-v0,0.371040403842926,0.3740736842155456,0.5260214805603027
TFBind8-Exact-v0,0.4543973803520202,0.4750855565071106,0.4282356798648834
TFBind10-Exact-v0,0.4649398326873779,0.4697293937206268,0.4480859041213989
HopperController-Exact-v0,-0.0239128582179546,0.0101222321391105,0.0817814022302627
gtopx_data_2_1,0.998959476976256,,0.9998815324936928
gtopx_data_3_1,0.9999789098615172,,0.999991361906642
gtopx_data_4_1,0.9999999148580244,,0.9999995438386362
gtopx_data_6_1,0.9999391377114466,,0.999915866691437
KP_50,2.0988569259643555,,2.1101737022399902
KP_100,2.209939956665039,,2.135444641113281
KP_200,2.070972442626953,,2.0420241355896
TSP_20,-0.0038552121259272,,0.017620138823986
TSP_50,0.015922337770462,,-0.0491078197956085
TSP_100,0.3223258256912231,,0.1125890687108039
LunarLander_136,0.5303095418974155,0.2888908771285409,0.5471414697330511
LunarLander_100,0.5763501846269126,0.3846807089048207,0.3371334965529496
LunarLander_148,0.5840015370292093,0.5281709385716116,0.5528213487229181
LunarLander_91,0.4944235382026882,0.5913783590675842,0.5624470779956628
LunarLander_152,0.6875933639269659,0.7206898297894272,0.6393089494836077
LunarLander_117,0.7781922881888031,0.6666314191831353,0.5032319078990564
LunarLander_174,0.5962748501729767,0.2655216875841141,0.4607945944341735
LunarLander_127,0.2997140260624446,0.4270667149881081,0.7277680950441882
LunarLander_60,0.6928223990176308,0.6994771546391614,0.8407056295083553
LunarLander_163,0.8730238237950526,0.8669804323860714,0.8715325825121826
LunarLander_86,0.9346089884712776,0.5772623772606803,0.5327075131412694
LunarLander_142,0.3420591306033123,0.3510373626177502,0.306736178222474
LunarLander_113,0.3914712624156041,0.39985800783747083,0.3177848424682856
LunarLander_155,0.3363235294377559,,0.5997701537428374
LunarLander_53,0.4885241590387517,,0.3834100634903956
LunarLander_159,0.335674671938357,,0.5168469646605669
LunarLander_180,0.5685272393502838,,0.7697945793332778
LunarLander_103,0.8956266833797302,,-0.1380625538792461
LunarLander_116,0.2170664960558873,,0.5851814238628466
RobotPush_256,0.960857152655251,,0.9362767455628492
RobotPush_210,0.7710487695215278,,0.8101300015351248
RobotPush_12,0.8355444191858841,,0.6928563354415713
RobotPush_125,0.6760025305614126,,0.6997721973599039
RobotPush_140,0.7724382722230618,,0.1114477593720762
RobotPush_96,0.677506784681877,,0.6802597425580356
RobotPush_172,0.3936288292699292,,0.393155113537364
RobotPush_182,1.0,,1.0
RobotPush_123,0.6269329082928812,,0.7917616877564955
RobotPush_22,0.4302498819011127,,0.7367420068712843
RobotPush_11,0.5766915177351318,,0.6949887110629976
RobotPush_144,0.5412425652132212,,0.4947148665656961
RobotPush_298,0.7889364699799941,,0.8371912807378858
RobotPush_291,0.7388680675125597,,0.7016719335488865
RobotPush_90,0.610500904358434,,0.5560169195681446
RobotPush_57,0.9118903346337472,,0.4012167152073687
RobotPush_160,0.9808426498688964,,0.874968566205073
RobotPush_250,0.91948234197247,,0.9695452148977536
RobotPush_21,0.5868670100578378,,0.6571613917135448
RobotPush_100,0.7017585428482299,,0.9317863144580592
Rover_107,0.9701571462532428,,0.8661396651304811
Rover_160,0.788091786922036,,0.7295888604229237
Rover_292,0.8136571262281205,,0.8907216464006409
Rover_130,0.7784322565318953,,0.8912020932063779
Rover_85,0.6979466485259813,,0.5519627820970114
Rover_54,0.879838201031196,,0.7465459127137246
Rover_205,0.8740395179808222,,0.823830833993535
Rover_150,0.6906492140032985,,0.8547759394430707
Rover_97,0.8392318214605348,,0.8463362206706204
Rover_26,0.866566993977671,,0.9268999681812796
Rover_215,0.757676923438487,,0.7271396099566593
Rover_63,0.5524918532340222,,0.4981218209353359
Rover_294,0.7336793845544909,,0.8031694100843982
Rover_56,0.7468117693317262,,0.7913707775453112
Rover_13,0.8037791377826982,,0.8121953106167733
Rover_135,0.9087534041204872,,0.8553233822850377
Rover_82,0.4279403952781241,,0.6375950798819439
Rover_165,0.689031810711997,,0.8947871609817316
Rover_252,0.707648430058268,,0.726048934532286
