task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch
AntMorphology-Exact-v0,-152.38370513916016,200.19143676757807,-142.57001876831055
DKittyMorphology-Exact-v0,45.2139778137207,72.5877914428711,51.15202236175537
Superconductor-RandomForest-v0,57.29576396942139,48.22796249389648,70.27302551269531
TFBind8-Exact-v0,0.5772456228733063,0.583984449505806,0.5225049257278442
TFBind10-Exact-v0,0.0467391135171055,0.1725130937993526,0.0630876719951629
HopperController-Exact-v0,214.0546646118164,17.964740753173828,309.38907623291016
gtopx_data_2_1,-106.71693720873142,-132.1920166014478,-316.9173256468911
gtopx_data_3_1,-368.6267113281168,-171.5765811311394,-102.05640630717969
gtopx_data_4_1,-219.9447295154606,-227.7660247059516,-134.8993288165351
gtopx_data_6_1,-88.91831826281019,-83.07786231117025,-105.337319670474
KP_50,9.92202615737915,,9.816946029663086
KP_100,28.63508033752441,,25.428699016571045
KP_200,27.70816802978516,,23.079573154449463
TSP_20,-11.007816314697266,,-11.38987684249878
TSP_50,-21.31181240081787,,-21.533329486846924
TSP_100,-29.945974826812744,,-39.36698341369629
LunarLander_136,-68.87359056201267,,53.08033142409818
LunarLander_100,-91.10077509643432,,12.817574756132371
LunarLander_148,-75.18454194875264,,-90.40117577762726
LunarLander_91,-16.604702496975516,,14.900267630501206
LunarLander_152,-154.1396656966595,,-36.88385831710938
LunarLander_117,-10.807973512143104,,-54.82001859772433
LunarLander_174,-26.87850074109568,,-110.8687877996894
LunarLander_127,-110.866817895794,,-21.56802484196144
LunarLander_60,-128.01998042429733,,-228.76842166341305
LunarLander_163,31.75293627258556,,-27.12539673908793
LunarLander_86,-39.33207039243422,,-53.70449377920504
LunarLander_142,-108.9717215734439,,-129.6501392016979
LunarLander_113,51.74969322343414,,-65.62539468097255
LunarLander_155,178.82785548695384,,257.72396496587555
LunarLander_53,-26.551560111766307,,-61.4680873687353
LunarLander_159,-145.4091025986348,,-65.37515124962125
LunarLander_180,-150.14113154348692,,-119.50642882842008
LunarLander_103,-81.04911477041807,,-109.27027344485498
LunarLander_116,-108.43839876717222,,-20.17282151450131
RobotPush_256,0.005154390394848,,0.1306255983468065
RobotPush_210,0.5962402701959202,,0.020028422652486
RobotPush_12,0.7032008514288199,,1.841890109627116
RobotPush_125,2.355584536934164e-11,,3.548616560940453
RobotPush_140,-1.4119822924452,,-0.5564406456136429
