task,baseline_omnipred_24m
AntMorphology-Exact-v0,219.0414276123047
Superconductor-RandomForest-v0,81.750732421875
DKittyMorphology-Exact-v0,228.4810485839844
TFBind8-Exact-v0,0.988455057144165
TFBind10-Exact-v0,0.7821115851402283
gtopx_data_2_1,-91.25125495804537
gtopx_data_3_1,-62.27364296512146
gtopx_data_4_1,-147.78248510658003
gtopx_data_6_1,-57.30722756631674
HopperController-Exact-v0,781.1923217773438
KP_50,12.703638076782228
KP_100,36.88329315185547
KP_200,33.2750358581543
TSP_20,-4.0892252922058105
TSP_50,-5.874699115753174
TSP_100,-9.211896896362305
RobotPush_256,0.0603617896724551
RobotPush_210,4.919923327026651
HPOB_5906_9914,-0.9461042881011964
HPOB_5906_9952,-0.7095746397972107
HPOB_5906_3492,-0.6604940891265869
HPOB_5906_3493,-0.6475229263305664
HPOB_5906_3954,-0.6933729648590088
HPOB_5906_7295,-0.8223466873168945
HPOB_5906_49,-0.6396132111549377
HPOB_5906_14965,-0.8848658204078674
HPOB_5906_14951,-0.5508705377578735
HPOB_5906_31,-0.6978586316108704
HPOB_5906_125923,-0.8109872341156006
HPOB_5906_3,-0.7557693719863892
HPOB_5906_3902,-0.8825648427009583
HPOB_5906_9957,-0.6564759612083435
HPOB_5906_9967,-0.6529741883277893
HPOB_5906_9983,-0.8055893778800964
HPOB_5906_3917,-0.8443403840065002
HPOB_5906_9978,-0.9390796422958374
HPOB_5906_3891,-0.5139461159706116
HPOB_5906_6566,-0.9066678285598756
HPOB_5906_9889,-0.9460057616233826
HPOB_5906_3494,-0.5191130042076111
HPOB_5906_37,-0.6544721722602844
HPOB_5906_3896,-0.7492491602897644
HPOB_5889_6566,-0.9673704504966736
HPOB_5889_14971,-0.832602322101593
HPOB_5889_9983,-0.8763551115989685
HPOB_5889_3954,-0.8714177012443542
HPOB_5889_9977,-0.9632917642593384
HPOB_5889_7295,-0.7977207899093628
HPOB_5889_3889,-0.9904636144638062
HPOB_5889_9970,-0.5295329093933105
HPOB_5889_3891,-0.8566429615020752
HPOB_5889_9978,-0.938689351081848
HPOB_5889_3917,-0.8541606664657593
HPOB_5889_9957,-0.8399326801300049
HPOB_5889_9980,-0.9045394659042358
HPOB_5889_3494,-0.9626221656799316
HPOB_5889_10101,-0.774823784828186
HPOB_5889_31,-0.7148163914680481
HPOB_5889_3493,-0.6571072340011597
HPOB_5889_3913,-0.829156219959259
HPOB_5889_9946,-0.9461331963539124
HPOB_5889_125923,-0.8608996272087097
