task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad,baseline_embed_regress_proj_t5_addmeta
AntMorphology-Exact-v0,0.2314660027623176,0.5633829087018967,0.3934045806527138,0.2318372093141079,0.2771089673042297,
DKittyMorphology-Exact-v0,0.804614469408989,0.7503225952386856,0.891706794500351,0.635768249630928,0.8319548964500427,
Superconductor-RandomForest-v0,0.4187335669994354,0.3795146346092224,0.5340854674577713,0.4664703011512756,0.4551164209842682,
TFBind8-Exact-v0,0.5817708224058151,0.5623995214700699,0.5244557410478592,0.8006174564361572,0.603639230132103,
TFBind10-Exact-v0,0.4999702647328377,0.5006426572799683,0.4995648041367531,0.5265550911426544,0.5145522356033325,
HopperController-Exact-v0,0.2429272904992103,0.0143150563817471,0.0931305326521396,0.2911489680409431,0.3434546813368797,
gtopx_data_2_1,0.9996451679649614,,0.9999036375000532,0.9998958095448368,0.9996542556746147,
gtopx_data_3_1,0.9999879699888968,,0.9999919084110452,0.9999900410033477,0.9999901003354092,
gtopx_data_4_1,0.9999999234711964,,0.9999996481984708,0.9999998899237348,0.999999884742387,
gtopx_data_6_1,0.9999440960955266,,0.999929809829173,0.9999280712896912,0.999942577806346,
KP_50,2.149634003639221,,2.163338661193848,1.7886464595794678,2.040167570114136,
KP_100,2.271210253238678,,2.168314754962921,1.7533185482025146,2.182153761386872,
KP_200,2.09079784154892,,2.0584601163864136,2.066370129585266,2.145302891731262,
TSP_20,0.0955443829298019,,0.1133345551788806,0.62337327003479,0.1830194890499115,
TSP_50,0.0613639680668711,,-0.001222828956088,0.856661006808281,0.0010918377374764,
TSP_100,0.3668103516101837,,0.1615036688745021,0.9336566627025604,-0.0112552684731781,
LunarLander_136,0.579857389676856,0.2985419117201258,0.5827957165261455,-6.386190579631891,,
LunarLander_100,0.6662488519002958,0.4198982299866624,0.414969102536822,,,
LunarLander_148,0.5842205071798151,0.5609527356111704,0.6170266745163757,,,
LunarLander_91,0.5426537869932414,0.6221324546695965,0.5778510293688117,,,
LunarLander_152,0.7395235753386977,0.7834008495386904,0.6649117104260457,,,
LunarLander_117,0.8170225489070876,0.6864380405934905,0.5339839994510107,,,
LunarLander_174,0.6058101831978879,0.3350659431861661,0.4670421478830036,,,
LunarLander_127,0.315436088230723,0.4514140084169948,0.8175807946181315,,,
LunarLander_60,0.6928223990176308,0.8820811598625729,0.849881911179784,,,
LunarLander_163,0.8835876284066468,0.8881845220395362,0.8799855831984695,,,
LunarLander_86,0.9642695846653128,0.6682758345341834,0.5353062571520509,,,
LunarLander_142,0.377806094484642,0.3545500285159154,0.3099876641496005,,,
LunarLander_113,0.4667363679913849,0.4683589610862207,0.3225617296229441,,,
LunarLander_155,0.3509426830823564,0.9501610334614968,0.6651575777442857,,,
LunarLander_53,0.667868641181323,0.6834060787240727,0.4477616504021607,,,
LunarLander_159,0.3818933746443806,0.5999337859480245,0.5989164153787896,,,
LunarLander_180,0.5874519411491954,0.425507989768961,0.9123579838887812,,,
LunarLander_103,1.1128246912604949,0.8372445941847695,-0.0149133522759841,,,
