task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad,baseline_embed_regress_proj_t5_addmeta
AntMorphology-Exact-v0,0.7645204067230225,0.7909272909164429,0.732276201248169,0.5871078968048096,0.6655961275100708,
DKittyMorphology-Exact-v0,0.8763381838798523,0.8509541153907776,0.8521254658699036,0.8862482905387878,0.8913302421569824,
Superconductor-RandomForest-v0,0.3195057809352875,0.2791031002998352,0.4003666043281555,0.5148656964302063,0.5224403142929077,
TFBind8-Exact-v0,0.9296375513076782,0.9233084321022034,0.9574897885322572,0.9929802417755128,0.9150208234786988,
TFBind10-Exact-v0,0.6053129434585571,0.6279013156890869,0.6580836176872253,0.6954602599143982,0.78103107213974,
HopperController-Exact-v0,0.3129357397556305,-0.04144774004817,0.3740869760513305,0.6862046122550964,1.763661503791809,
gtopx_data_2_1,0.9999288688886686,0.9999437789095392,0.9999371608082008,0.9998399477818708,0.99991178477829,
gtopx_data_3_1,0.9999950518599712,0.9999975040145004,0.999995771080122,0.999996258441348,0.9999901003354092,
gtopx_data_4_1,0.9999999342907848,0.9999999569509188,0.9999999665701826,0.9999999718252672,0.999999884742387,
gtopx_data_6_1,0.9999747202097442,0.9999711383367575,0.9999752675279108,0.9999627991798888,0.999942577806346,
KP_50,2.29754900932312,2.413464069366455,2.264413595199585,2.0269646644592285,2.295107364654541,
KP_100,2.3745005130767822,2.258383750915528,2.262994766235352,1.8511149883270264,2.333608388900757,
KP_200,2.2407596111297607,2.1292295455932617,2.1221065521240234,2.0949201583862305,2.2777087688446045,
TSP_20,0.6253329515457153,0.7535451054573059,0.4555188417434692,0.9969357252120972,0.4304113090038299,
TSP_50,0.4817685484886169,0.6489052772521973,0.4704023003578186,0.9812020659446716,0.1322518289089203,
TSP_100,0.6861451268196106,0.3178586959838867,0.5857552886009216,0.9954344034194946,0.0742785707116127,
LunarLander_136,0.6189984889412985,0.7819935357562788,0.7705338522444787,0.8351043720017454,,
LunarLander_100,0.5411201873485114,0.792153291904648,0.6623140073670567,,,
LunarLander_148,0.9425005556409808,0.7153276651550127,0.7639716855687997,,,
LunarLander_91,0.6759075459457048,0.9072882265290574,0.7504860013436527,,,
LunarLander_152,0.834137501562009,0.8784333237498548,0.9081593136309642,,,
LunarLander_117,0.902166158280481,0.9496882472940836,0.8899068396363972,,,
LunarLander_174,0.8443450701830821,0.8346631954612388,0.6198037098240705,,,
LunarLander_127,0.9504612377269728,0.5165400040619811,0.9492362126581506,,,
LunarLander_60,0.8354406705386911,0.6979741137608669,0.7540784110422507,,,
LunarLander_163,0.9428845488915892,0.9014614070456858,0.9150202573592044,,,
LunarLander_86,0.9499674467417916,1.0560472029884111,1.421379480114363,,,
LunarLander_142,0.5088775741405376,0.519750599029155,0.4815689502241035,,,
LunarLander_113,0.7492288581756197,0.6208663630158955,0.6734801834967652,,,
LunarLander_155,1.0103367252763793,0.904982378074555,1.0154611312841708,,,
LunarLander_53,0.7594010379748249,0.8469256157873132,0.8410041276156868,,,
LunarLander_159,0.6077362256164055,0.8335570696711138,1.002338263958766,,,
LunarLander_180,0.6951675008061506,1.1377232940198234,0.5783186866320396,,,
LunarLander_103,1.1657437941273177,1.0614692101614105,0.8669797296535415,,,
LunarLander_116,0.7871443382423027,0.6990739489454766,1.0429648314229367,,,
RobotPush_256,1.6165850841774765,1.3493910963653593,2.714198193635861,,,
RobotPush_210,0.9389252657791204,0.8420134561130959,0.8383943086019546,,,
RobotPush_12,0.959277143070746,0.9963688858382612,0.9867035755328768,,,
RobotPush_125,0.718742267946455,0.8985403313640016,0.8564183867673739,,,
RobotPush_140,1.2580239331059224,1.252588011559671,1.2525920672781077,,,
RobotPush_96,0.7876630685736118,0.9359164474968314,0.9053107332388384,,,
RobotPush_172,0.5512812066288749,0.8015029625327581,0.6152381732837165,,,
RobotPush_182,1.0,1.0,1.0,,,
RobotPush_123,0.6902362057245864,0.8141489233986036,0.9633013749295224,,,
RobotPush_22,0.9704021338228216,0.9901526706304976,0.9746768071974262,,,
RobotPush_11,0.9668297810637908,0.9928366313633736,0.979274283948503,,,
RobotPush_144,0.6884847058510651,0.7650273934506813,0.6804730916673665,,,
RobotPush_298,0.9615092874255672,0.9749794802060652,1.002922732360645,,,
RobotPush_291,0.9620514634729016,0.8381689241578424,0.7838258000797036,,,
RobotPush_90,0.952319627744091,0.9880637838707658,0.9644106872009184,,,
RobotPush_57,0.9621132545873968,0.9781333286489976,0.992943163087468,,,
RobotPush_160,1.002313168590693,0.9605543861030028,0.9769372324907176,,,
RobotPush_250,0.9435862996884736,0.9883681836304812,0.9890789159846628,,,
RobotPush_21,0.9306656636604952,0.8750750430762592,0.9120552312558512,,,
RobotPush_100,0.9932471750727528,0.9974543870157682,0.9951472407866868,,,
Rover_107,0.987249795560404,0.9906135733371836,1.0058783108967218,,,
Rover_160,0.9584238313878892,1.0040505938983393,0.9162326721888944,,,
Rover_292,0.868512319099321,0.9601811200429792,0.9365346458421572,,,
Rover_130,0.9593906063823144,0.9086753586790968,0.9318386512116128,,,
Rover_85,0.934277823797946,0.8540317983704863,0.8689827763204866,,,
Rover_54,0.9291460666123807,0.8877547845727861,0.8589006526607159,,,
Rover_205,0.9084468458183113,0.893550784171028,0.9710740896269062,,,
Rover_150,0.8989287536749209,0.9632592032666089,0.965211067210308,,,
Rover_97,1.0174449641122312,0.81934302655745,0.8857545721277137,,,
Rover_26,0.93104283138097,0.9269350140757578,0.9425345148397074,,,
Rover_215,0.8865799724485367,1.0840228418364857,1.0146285440494145,,,
Rover_63,1.045170201223844,1.1214073485574794,0.8119023478509652,,,
Rover_294,0.9429352254198892,0.8878937818765662,0.850264146919729,,,
Rover_56,0.9246057058108462,0.9517223179510562,0.9412302002072456,,,
Rover_13,0.9932097951851918,0.901966386124585,1.03055672445416,,,
Rover_135,0.954593212134226,0.9778781376413545,0.9822505301395728,,,
Rover_82,0.9759673188204204,1.0552147654529145,0.9533011944932418,,,
Rover_165,0.9425382144151828,0.8744805247723175,0.8795756543772694,,,
Rover_252,0.8486357565033196,0.8997398605853835,0.8358931870274788,,,
Rover_43,0.8378651112312422,0.8103077253449174,0.8222773968786935,,,
HPOB_5906_9914,0.9525756877803928,,0.9647877192135088,0.9525756877803928,0.9999906021296672,
HPOB_5906_9952,0.894476779818798,,0.8918463616584992,1.016565108126568,1.0361641881939514,
HPOB_5906_3492,0.993295899715234,,0.9930843942848728,0.997943574723306,0.993550487393302,
HPOB_5906_3493,0.970523396845078,,1.0080820132586048,0.98030688994774,0.967811011611588,
HPOB_5906_3954,0.3454308399581552,,0.5766192208982602,1.0062264869235582,1.0099904710388812,
HPOB_5906_7295,0.0841164435254153,,0.50338898210925,0.9808378771791754,0.4103165562125691,
HPOB_5906_49,0.987554989457198,,0.9644811625992592,1.009716437477603,1.0106213683246266,
HPOB_5906_14965,1.048059444035988,,0.8567355811841533,,,
HPOB_5906_14951,0.8133894510433594,,1.00099204457794,,,
HPOB_5906_31,0.9900824845726804,,0.6975242059622234,,,
HPOB_5906_125923,1.05767647565377,,0.9892261361014316,,,
HPOB_5906_3,0.2758320506175087,,0.9988616451065816,,,
HPOB_5906_3902,1.126547615576184,,0.9008940817161938,,,
HPOB_5906_9957,0.2374286070723956,,0.5108906895724551,,,
HPOB_5906_9967,1.0075619392668165,,1.0026878672411097,,,
HPOB_5906_9983,1.0006458879509796,,1.0006458879509796,,,
HPOB_5906_3917,0.3570849324401384,,0.1238960085837238,,,
HPOB_5906_9978,0.9607537561706964,,0.9660158325541716,,,
HPOB_5906_3891,0.2921829572147641,,0.2654389541147539,,,
HPOB_5906_6566,0.047303490446967,,0.1006967728463823,,,
