task,baseline_omnipred_24m
AntMorphology-Exact-v0,0.1939058005809784
Superconductor-RandomForest-v0,0.3544136360287666
DKittyMorphology-Exact-v0,0.8483094573020935
TFBind8-Exact-v0,0.3693692609667778
TFBind10-Exact-v0,0.3885381519794464
gtopx_data_2_1,0.9999221287087536
gtopx_data_3_1,0.9999876987757746
gtopx_data_4_1,0.9999997969771796
gtopx_data_6_1,0.9998318031196072
HopperController-Exact-v0,0.1808528453111648
KP_50,1.964106023311615
KP_100,1.9212980270385744
KP_200,2.084696590900421
TSP_20,0.813366711139679
TSP_50,0.9007362276315688
TSP_100,0.927076816558838
RobotPush_256,0.9362767455628492
RobotPush_210,0.7773826362983021
HPOB_5906_9914,0.9525756877803928
HPOB_5906_9952,0.8044727558040554
HPOB_5906_3492,0.6216523343351256
HPOB_5906_3493,0.965602627522982
HPOB_5906_3954,0.4203099864308078
HPOB_5906_7295,0.0736212765126946
HPOB_5906_49,0.4960788059057242
HPOB_5906_14965,0.7647428462258088
HPOB_5906_14951,1.00065579285921
HPOB_5906_31,0.3385948209620233
HPOB_5906_125923,0.0578697385623901
HPOB_5906_3,0.4775455493178325
HPOB_5906_3902,0.6776722192875784
HPOB_5906_9957,0.1575485314213171
HPOB_5906_9967,0.0559848976095035
HPOB_5906_9983,0.2640322322212052
HPOB_5906_3917,0.3602117414805281
HPOB_5906_9978,0.7273737209311536
HPOB_5906_3891,0.2080769461311484
HPOB_5906_6566,0.0564331090041294
HPOB_5906_9889,0.959782206175145
HPOB_5906_3494,0.6317173323144712
HPOB_5906_37,0.8375873560620103
HPOB_5906_3896,0.6022441152263649
HPOB_5889_6566,0.585813588985642
HPOB_5889_14971,0.1000220777738749
HPOB_5889_9983,0.4629818218643741
HPOB_5889_3954,0.0504381589453929
HPOB_5889_9977,0.1000665129055982
HPOB_5889_7295,0.2059836023874132
HPOB_5889_3889,0.0384626853179849
HPOB_5889_9970,0.5284816497506837
HPOB_5889_3891,0.2078137187576024
HPOB_5889_9978,0.0434339286343362
HPOB_5889_3917,0.317015354370857
HPOB_5889_9957,0.3349650989660839
HPOB_5889_9980,0.1905402110757479
HPOB_5889_3494,0.9343296653112434
HPOB_5889_10101,0.1593271155380995
HPOB_5889_31,0.1960726454854013
HPOB_5889_3493,0.3911243588829742
HPOB_5889_3913,0.3280260535032942
HPOB_5889_9946,0.2896087153128612
HPOB_5889_125923,0.23519696592503272
