task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch
Superconductor-RandomForest-v0,0.0317727099811893,0.3512091433021397,
TFBind8-Exact-v0,0.8813451939595467,0.8465135299849285,
TFBind10-Exact-v0,0.9314737500306142,0.8836391934670371,
gtopx_data_2_1,0.8581398845463626,0.6382531484924711,0.8721690319740355
gtopx_data_3_1,0.6673052827229229,0.8672364348530163,0.5858900829685747
gtopx_data_4_1,0.8435440673870852,0.5730957817804326,0.9253271296068776
gtopx_data_6_1,0.6446736281137395,0.773553438199744,0.6555102303296975
KP_50,0.9081795907344444,,0.8793345813337163
KP_100,0.8796262412349634,,0.8076709555418361
KP_200,0.9075121741332453,,0.8487799982765378
TSP_20,0.0,,0.0
TSP_50,0.0,,0.0
TSP_100,0.0,,0.0
