task,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,baseline_embed_regress_proj_t5,Expert_GA
AntMorphology-Exact-v0,0.2336731255054474,0.2888493537902832,0.4431008100509643,
Superconductor-RandomForest-v0,0.3712432086467743,0.4765659272670746,0.3589916229248047,0.4074922800064087
DKittyMorphology-Exact-v0,0.8780275583267212,0.7261435985565186,0.3082465529441833,
TFBind8-Exact-v0,0.4621026217937469,0.4200202226638794,0.475972056388855,0.8397878408432007
TFBind10-Exact-v0,0.4451293647289276,0.4663509130477905,0.4568294286727905,
gtopx_data_2_1,0.999924131125987,0.999912744340273,0.9995251142465444,
gtopx_data_3_1,0.9999904268725358,0.99998678777323,0.999922172185942,
gtopx_data_4_1,0.999999798556228,0.999999783236208,0.9999999224786608,
gtopx_data_6_1,0.9998573390484228,0.9999007389010872,0.9998275912309452,
HopperController-Exact-v0,0.1886446475982666,0.0956559032201767,-0.0327301248908042,
KP_50,2.1191744804382324,2.163626194000244,2.0540072917938232,1.875950813293457
KP_100,2.182389974594116,2.0565011501312256,2.1657910346984863,
KP_200,2.1333155632019043,1.973554611206055,2.10406494140625,
TSP_20,0.3292474150657654,0.0504115335643291,0.0613302737474441,
TSP_50,0.339682400226593,0.010010115802288,0.1325123459100723,
TSP_100,0.0980332344770431,0.1986766904592514,0.3910906910896301,
RobotPush_256,0.9362767455628492,0.938040428407476,0.9517987068724594,
RobotPush_210,0.7896088948035644,0.78839233511532,0.78839233511532,
HPOB_5906_9914,0.9525756877803928,0.6121850108051304,0.9525756877803928,
HPOB_5906_9952,0.8057103474934895,0.3438391081888918,0.4931587402262231,
HPOB_5906_3492,0.6216523343351256,0.6660809614613488,0.9930843942848728,
HPOB_5906_3493,0.9657338104468396,0.9502135935525756,0.950816106273656,
HPOB_5906_3954,0.4260779029561999,0.5009575507252654,0.0822777945538487,
HPOB_5906_7295,0.0772231254393436,0.0727081825463196,0.0358650214564436,
HPOB_5906_49,0.5042968040505187,0.4515637899045666,0.5143056619648525,
HPOB_5906_14965,0.7860097247194351,0.7841550417380158,0.3144611674930298,
HPOB_5906_14951,1.00065579285921,1.00065579285921,1.00065579285921,
HPOB_5906_31,0.3385948209620233,0.1666523235947339,0.7940356909339102,
HPOB_5906_125923,0.0578697385623901,0.4089319589824426,0.9829720123480624,
HPOB_5906_3,0.4775455493178325,0.9959339058145892,0.0854897881470439,
HPOB_5906_3902,0.6776722192875784,0.5509957472024201,0.854400458360407,
HPOB_5906_9957,0.5736142179744443,0.1291260046549186,0.5993002643023065,
HPOB_5906_9967,0.276501837053652,0.1039849779084441,0.8209027649936471,
HPOB_5906_9983,0.2997431174569328,1.0006458879509796,0.99476886101639,
HPOB_5906_3917,0.3602117414805281,0.5650079699756525,0.3405709382459492,
HPOB_5906_9978,0.734883205368191,0.9144039857757243,0.5742176952164849,
HPOB_5906_3891,0.2674024864874149,0.1615522200297554,0.2322934623492333,
HPOB_5906_6566,0.0564331090041294,0.0197668758710882,0.011977066347138,
HPOB_5906_9889,0.959782206175145,0.1175214662277387,0.9200532873693896,
HPOB_5906_3494,0.6360212938476038,0.3990772981497504,0.927023941011082,
HPOB_5906_37,0.8616082229143162,0.8378355790485353,0.782882282850519,
HPOB_5906_3896,1.016183291849873,0.7211889303110323,0.9797699664926652,
HPOB_5889_6566,0.585813588985642,0.585813588985642,0.1102956851396709,
HPOB_5889_14971,0.1658099707259423,0.1638155897067121,0.1648127802163272,
