task,baseline_embed_regress_proj_t5,baseline_omnipred_24m,baseline_embed_regress_t5_m_cat_from_scratch,Expert_GA,Expert_Grad
AntMorphology-Exact-v0,0.1766236722469329,0.4149570763111114,0.1802379190921783,0.2375668287277221,0.242648109793663
DKittyMorphology-Exact-v0,0.3091349005699157,0.7585085034370422,0.3101337552070617,0.7602534890174866,0.7459855079650879
Superconductor-RandomForest-v0,0.2889333367347717,0.251365453004837,0.3738998770713806,0.4810022413730621,0.474253237247467
TFBind8-Exact-v0,0.4358017444610595,0.465741366147995,0.4193914234638214,0.6876108050346375,0.4427699446678161
TFBind10-Exact-v0,0.4433442950248718,0.4605084061622619,0.4385798871517181,0.4892840683460235,0.4689868688583374
HopperController-Exact-v0,0.0597434416413307,-0.0550262816250324,0.1483917236328125,0.0288511365652084,0.0346876010298728
gtopx_data_2_1,0.9998044204843186,0.9998569208809558,0.99958881200927,0.9998185601298892,0.9994007609154504
gtopx_data_3_1,0.9999262796281078,0.9999839439592746,0.9999933769295606,0.9999909939101814,0.9999901003354092
gtopx_data_4_1,0.999999833450162,0.9999998683263892,0.9999999057667508,0.9999999021395038,0.999999884742387
gtopx_data_6_1,0.9999528550879412,0.999959530694549,0.9999405242487732,0.9999288335775532,0.999942577806346
KP_50,1.9548107385635376,2.1219847202301025,2.124478340148926,1.8640367984771729,2.017745018005371
KP_100,2.2095091342926025,2.062255859375,2.1092045307159424,1.7113195657730105,2.1293740272521973
KP_200,2.153029441833496,2.061767101287842,2.045908212661743,2.008833646774292,2.0963892936706543
TSP_20,0.0939012169837951,0.3438781499862671,0.021280650049448,0.4283873438835144,0.166924700140953
TSP_50,0.0503145456314086,0.274794191122055,0.095462828874588,0.7190794944763184,-0.0489566996693611
TSP_100,0.4280951023101806,0.1631658375263214,0.1795678585767746,0.915684938430786,-0.0577715598046779
LunarLander_136,0.3202675669982386,0.4142588350940498,0.5681672833609126,-47.748674751789885,
LunarLander_100,0.401972271113623,0.544334119375899,0.484151445317484,,
LunarLander_148,0.6055880927517899,0.5273656244848339,0.6463385291957184,,
LunarLander_91,0.3929620097231882,0.605586390479387,0.5844391786180595,,
LunarLander_152,0.3509943564689529,0.7005088849156313,0.6824776579731018,,
LunarLander_117,0.722811080647227,0.1084617920367337,0.6312578677688658,,
LunarLander_174,0.676192003879835,0.3666567511233115,0.4751994116143393,,
LunarLander_127,0.3820058620310604,0.2734970559852655,0.8333922598759039,,
LunarLander_60,0.2042223884408116,0.6928223990176308,0.2429444441883421,,
LunarLander_163,0.908234181068046,0.8739286698355535,0.8912503571558995,,
LunarLander_86,0.7053823914658359,0.7815409752937812,0.5519390465976781,,
LunarLander_142,0.3630934444133312,0.4457025003058288,0.3535490015489487,,
LunarLander_113,0.4919607266838307,0.3247120572387286,0.4100308916237707,,
LunarLander_155,0.7540214067819713,0.6553079305881329,0.8193286948777625,,
LunarLander_53,0.4798472179170332,0.6951785449657333,0.3328563691358916,,
LunarLander_159,0.0700389575518774,0.3967596791355695,0.631478575798804,,
LunarLander_180,0.3306290275999918,0.6619978144638927,0.4790380007992941,,
LunarLander_103,0.7158312994500433,0.3947510682635207,-0.0396342591662157,,
LunarLander_116,0.4268826957102896,0.6045509548759471,0.6879537932422619,,
RobotPush_256,0.9362767455628492,0.7655703119236072,1.0350064573513815,,
RobotPush_210,0.8057417100972115,0.7810736858445964,0.78839233511532,,
RobotPush_12,0.4961297177414244,0.8063826760131008,0.691154288674291,,
RobotPush_125,0.6579182666133604,0.6579182666133604,0.7505569722132196,,
RobotPush_140,0.4241725240702143,0.7704034958804391,0.9313271153516168,,
RobotPush_96,0.5509477528727961,0.6230504509348638,0.7135338042247847,,
RobotPush_172,0.3929977080664647,0.6593275631738404,0.497472796304082,,
RobotPush_182,1.0,1.0,1.0,,
RobotPush_123,0.5762591812927054,0.5652087230813514,0.6489177513659145,,
RobotPush_22,0.3322439013990976,0.8044115281204283,0.7659004151290797,,
RobotPush_11,0.7805897854354895,0.9459165407214408,0.8189179077533065,,
RobotPush_144,0.4540203034605679,0.4238420819190681,0.3888129987710374,,
RobotPush_298,0.7959217020129608,0.803150236433908,0.7575607109176233,,
RobotPush_291,0.6846779617789391,0.6532594978028023,0.6384198311717011,,
RobotPush_90,0.5806653160223643,0.6307717805731861,0.535331883987031,,
RobotPush_57,0.6776762965895027,0.8929862284717929,0.7203733366458607,,
RobotPush_160,0.3754511017215992,0.8744656255151839,0.8928089292315964,,
RobotPush_250,0.8544513610012364,0.9291479899443108,0.9555000417788992,,
RobotPush_21,0.8015239929091302,0.7486563766331755,0.6560349681392077,,
RobotPush_100,0.5314852116668518,0.5879038843568308,0.716400834965697,,
Rover_107,0.9690030257967116,0.9446351051177526,0.96059693060845,,
Rover_160,0.7136296459294893,0.9047518761716664,0.730859924065592,,
Rover_292,0.7715333693991219,0.8901572061704974,0.8733670898347567,,
Rover_130,0.8273501829292691,0.8481927753021908,0.8547202275300236,,
Rover_85,0.7553127905731852,0.7879736257070918,0.7592526215402501,,
Rover_54,0.8586969800800694,0.6810444365252261,0.6210326238704763,,
Rover_205,0.7697938761042555,0.7943717023223004,0.8604674646674345,,
Rover_150,0.835698408435466,0.8968801414891525,0.92102883418791,,
Rover_97,0.8922552437137242,0.7472936632680647,0.7697380695600388,,
Rover_26,0.842740928753994,0.8249155891609441,0.8461833858382037,,
Rover_215,0.8012171232509823,0.9780035446514777,0.7898474417835218,,
Rover_63,0.7560003681282608,0.7214571083154349,0.3579325529518064,,
Rover_294,0.90154021348029,0.8405031428621157,0.7731941773927075,,
Rover_56,0.7979198007649682,0.9215438815499072,0.8118093616083353,,
Rover_13,0.8002269074939592,0.8363354649809285,0.9691790069951752,,
Rover_135,0.8815838214287914,0.9251838952845268,0.9088253207941522,,
Rover_82,0.8249591492235748,0.993008619208182,0.8280934511238516,,
Rover_165,0.87051367635286,0.7567452822196858,0.7137825135662423,,
Rover_252,0.7777862194945125,0.7962116415743967,0.7187863574116895,,
Rover_43,0.7403527265588242,0.6930900361367424,0.733611760545017,,
HPOB_5906_9914,0.9525756877803928,,0.9525756877803928,0.9525756877803928,0.9525756877803928
HPOB_5906_9952,0.8651511843634255,,0.8099338358072088,0.9832781170062036,0.8074592647943424
HPOB_5906_3492,0.993295899715234,,0.6704118517551724,0.9892672361233844,0.9846093823425026
HPOB_5906_3493,0.9506578907118858,,0.9457064401749812,0.9503436155656024,0.9481571229383734
HPOB_5906_3954,0.2272449470340546,,0.496787265867388,0.8947098414750196,0.5927326421423017
HPOB_5906_7295,0.0783311090270001,,0.096325917392002,0.7048741734444172,0.3655063795860421
HPOB_5906_49,0.4149896686063906,,0.4911268470868331,1.0078266053726268,0.9881061884985026
HPOB_5906_14965,0.4638159416910637,,0.8189096890420628,,
HPOB_5906_14951,0.1178166330280299,,0.3637440455654809,,
HPOB_5906_31,0.9674860968518606,,0.2798655638054235,,
HPOB_5906_125923,0.7350108094530863,,0.2734807805744952,,
HPOB_5906_3,0.1766219289123188,,0.998495484232134,,
HPOB_5906_3902,0.6560741234722928,,0.5049595994564469,,
HPOB_5906_9957,0.1772416237808203,,0.164906903941007,,
HPOB_5906_9967,0.1626800920239566,,0.8444832468962647,,
HPOB_5906_9983,1.0006458879509796,,0.4767018853610102,,
HPOB_5906_3917,0.3356866721336777,,0.0527141153473118,,
HPOB_5906_9978,0.4435780399739305,,0.9315465136036354,,
HPOB_5906_3891,0.2042782464359394,,0.173173752207603,,
HPOB_5906_6566,0.0048710961520508,,0.0386367500012947,,
HPOB_5906_9889,0.9916049995347366,,0.9598422945311864,,
HPOB_5906_3494,0.4998816369491926,,0.9123836100031916,,
HPOB_5906_37,0.5093284209315386,,0.1712695415847919,,
HPOB_5906_3896,0.9159308679816828,,0.1812333951398625,,
HPOB_5889_6566,0.1102956851396709,,0.585813588985642,,
HPOB_5889_14971,0.1658099707259423,,0.1638155897067121,,
HPOB_5889_9983,0.5194713128804247,,0.108268081976067,,
HPOB_5889_3954,0.0558589571380365,,0.0314967412179363,,
HPOB_5889_9977,0.0729145125550446,,0.1042817220243474,,
HPOB_5889_7295,0.1075008257866775,,0.0347994233149796,,
HPOB_5889_3889,0.0308636078981088,,0.080964456004556,,
HPOB_5889_9970,0.3158584042834729,,0.3916229213974515,,
HPOB_5889_3891,0.067953955416172,,0.1425454831560951,,
HPOB_5889_9978,0.090566053506921,,0.0383377394937976,,
HPOB_5889_3917,0.162474033741708,,0.2348030145039712,,
HPOB_5889_9957,0.1492828384638005,,0.1479744964728878,,
HPOB_5889_9980,0.2153308870596938,,0.1672412102783069,,
HPOB_5889_3494,-0.0043086551954238,,-0.0078770969586424,,
HPOB_5889_10101,0.3968769485348407,,0.3469966553198734,,
HPOB_5889_31,0.0805756077170374,,0.1964461058378221,,
HPOB_5889_3493,0.0557098542722841,,0.1985138636881733,,
HPOB_5889_3913,0.3950598884084483,,0.1196906817117361,,
HPOB_5889_9946,0.5279674443845254,,0.3193701401801262,,
HPOB_5889_125923,0.6250577334545662,,0.2979539573657331,,
adaptec1,,,,0.3860426183412267,0.5017729623709353
adaptec2,,,,0.8089447083847007,0.5552881424015652
adaptec3,,,,0.5153993728552044,0.4821930052684805
adaptec4,,,,0.7351808800415501,
