Method,AntMorphology-Exact-v0,Superconductor-RandomForest-v0,DKittyMorphology-Exact-v0,TFBind8-Exact-v0,TFBind10-Exact-v0,HopperController-Exact-v0,gtopx_data_2_1,gtopx_data_3_1,gtopx_data_4_1,gtopx_data_6_1,avg_rank
D(best),0.565 ± 0.000,0.400 ± 0.000,0.884 ± 0.000,0.439 ± 0.000,0.467 ± 0.000,1.000 ± 0.000,8.383 ± 0.000,8.630 ± 0.000,1.958 ± 0.000,-1.343 ± 0.000,3.312 ± 2.211
baseline_omnipred_24m,261.090 ± 109.992,76.992 ± 19.050,189.380 ± 73.565,0.955 ± 0.032,0.622 ± 0.165,308.036 ± 274.351,-129.674 ± 57.504,-67.643 ± 27.277,-135.210 ± 39.812,-75.436 ± 22.507,\textbf{2.987 ± 1.512}
baseline_embed_regress_proj_t5,303.210 ± 93.778,74.738 ± 13.214,201.711 ± 29.995,0.898 ± 0.030,0.573 ± 0.087,405.308 ± 214.166,-128.928 ± 60.298,-97.385 ± 41.685,-109.225 ± 21.155,-87.805 ± 44.483,3.350 ± 1.484
baseline_embed_regress_t5_m_cat_from_scratch,283.589 ± 100.652,96.212 ± 15.482,204.402 ± 32.955,0.895 ± 0.045,0.678 ± 0.106,482.254 ± 125.782,-93.894 ± 28.805,-74.488 ± 36.130,-87.754 ± 14.505,-62.590 ± 16.613,3.175 ± 1.233
Expert_GA,40.590 ± 98.417,92.935 ± 4.894,96.331 ± 64.660,0.984 ± 0.007,0.905 ± 0.326,639.450 ± 134.966,-97.612 ± 33.655,-67.554 ± 14.611,-108.411 ± 21.875,-64.217 ± 14.602,3.837 ± 1.427
Expert_Grad,195.348 ± 47.150,94.301 ± 11.061,151.810 ± 57.807,0.942 ± 0.056,0.888 ± 0.229,1529.526 ± 639.173,-121.535 ± 16.260,-151.190 ± 0.000,-215.716 ± 0.000,-112.599 ± 0.000,4.338 ± 1.823
