,D(best),AntMorphology-Exact-v0,Superconductor-RandomForest-v0,DKittyMorphology-Exact-v0,TFBind8-Exact-v0,TFBind10-Exact-v0,HopperController-Exact-v0,gtopx_data_2_1,gtopx_data_3_1,gtopx_data_4_1,gtopx_data_6_1
baseline_omnipred_24m,,0.66 ± 0.11,0.42 ± 0.10,0.88 ± 0.06,0.95 ± 0.03,0.62 ± 0.04,0.17 ± 0.22,\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00}
baseline_embed_regress_proj_t5,,\textbf{0.71 ± 0.10},0.40 ± 0.07,\textbf{0.89 ± 0.02},0.90 ± 0.03,0.61 ± 0.02,0.25 ± 0.17,\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00}
baseline_embed_regress_t5_m_cat_from_scratch,,0.69 ± 0.10,\textbf{0.52 ± 0.08},\textbf{0.89 ± 0.03},0.90 ± 0.05,0.64 ± 0.03,0.31 ± 0.10,\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00}
Expert_GA,,0.44 ± 0.10,0.50 ± 0.03,0.80 ± 0.05,\textbf{0.98 ± 0.01},\textbf{0.69 ± 0.08},0.43 ± 0.11,\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00}
Expert_Grad,,0.60 ± 0.05,0.51 ± 0.06,0.85 ± 0.05,0.94 ± 0.06,\textbf{0.69 ± 0.06},\textbf{1.13 ± 0.50},\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00},\textbf{1.00 ± 0.00}
